model_family,model_label,model,dataset,dataset_label,model_dataset_label,split,review_pct,review_count,captured_bad,precision,recall,base_bad_rate,lift_over_base_bad_rate
hist_gradient_boosting,HistGradientBoosting,hist_gradient_boosting_03_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,HistGradientBoosting | missingness challenger no grade/subgrade,validation,5.0,9346,5180,0.554248,0.112304,0.246763,2.24607
hist_gradient_boosting,HistGradientBoosting,hist_gradient_boosting_03_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,HistGradientBoosting | missingness challenger no grade/subgrade,validation,10.0,18692,9549,0.51086,0.207024,0.246763,2.070244
hist_gradient_boosting,HistGradientBoosting,hist_gradient_boosting_03_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,HistGradientBoosting | missingness challenger no grade/subgrade,validation,15.0,28038,13288,0.473928,0.288087,0.246763,1.920578
hist_gradient_boosting,HistGradientBoosting,hist_gradient_boosting_03_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,HistGradientBoosting | missingness challenger no grade/subgrade,validation,20.0,37384,16696,0.446608,0.361973,0.246763,1.809864
hist_gradient_boosting,HistGradientBoosting,hist_gradient_boosting_03_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,HistGradientBoosting | missingness challenger no grade/subgrade,validation,25.0,46730,19935,0.4266,0.432195,0.246763,1.72878
hist_gradient_boosting,HistGradientBoosting,hist_gradient_boosting_03_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,HistGradientBoosting | missingness challenger no grade/subgrade,validation,30.0,56076,22995,0.410068,0.498537,0.246763,1.661789
hist_gradient_boosting,HistGradientBoosting,hist_gradient_boosting_03_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,HistGradientBoosting | missingness challenger no grade/subgrade,test,1.0,1958,1095,0.559244,0.026598,0.210315,2.659075
hist_gradient_boosting,HistGradientBoosting,hist_gradient_boosting_03_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,HistGradientBoosting | missingness challenger no grade/subgrade,test,2.0,3915,2080,0.53129,0.050523,0.210315,2.52616
hist_gradient_boosting,HistGradientBoosting,hist_gradient_boosting_03_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,HistGradientBoosting | missingness challenger no grade/subgrade,test,5.0,9788,4811,0.49152,0.11686,0.210315,2.337064
hist_gradient_boosting,HistGradientBoosting,hist_gradient_boosting_03_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,HistGradientBoosting | missingness challenger no grade/subgrade,test,10.0,19575,8805,0.449808,0.213875,0.210315,2.138734
hist_gradient_boosting,HistGradientBoosting,hist_gradient_boosting_03_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,HistGradientBoosting | missingness challenger no grade/subgrade,test,15.0,29363,12369,0.421244,0.300445,0.210315,2.002919
hist_gradient_boosting,HistGradientBoosting,hist_gradient_boosting_03_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,HistGradientBoosting | missingness challenger no grade/subgrade,test,20.0,39150,15608,0.398672,0.37912,0.210315,1.895591
hist_gradient_boosting,HistGradientBoosting,hist_gradient_boosting_03_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,HistGradientBoosting | missingness challenger no grade/subgrade,test,25.0,48938,18589,0.379848,0.451529,0.210315,1.806089
hist_gradient_boosting,HistGradientBoosting,hist_gradient_boosting_03_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,HistGradientBoosting | missingness challenger no grade/subgrade,test,30.0,58725,21317,0.362997,0.517793,0.210315,1.725966
lightgbm,LightGBM,lightgbm_06_missingness_challenger_no_grade_subgrade,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,LightGBM | missingness challenger no grade/subgrade,validation,1.0,1870,1183,0.63262,0.025648,0.246763,2.563672
