model_family,model_label,model,dataset,dataset_label,model_dataset_label,split,review_pct,review_count,captured_bad,precision,recall,base_bad_rate,lift_over_base_bad_rate
lightgbm,LightGBM,lightgbm_03_missingness_challenger,missingness_challenger,missingness challenger,LightGBM | missingness challenger,test,20.0,39150,15750,0.402299,0.382569,0.210315,1.912837
lightgbm,LightGBM,lightgbm_03_missingness_challenger,missingness_challenger,missingness challenger,LightGBM | missingness challenger,test,25.0,48938,18744,0.383015,0.455294,0.210315,1.821148
lightgbm,LightGBM,lightgbm_03_missingness_challenger,missingness_challenger,missingness challenger,LightGBM | missingness challenger,test,30.0,58725,21520,0.366454,0.522723,0.210315,1.742402
xgboost,XGBoost,xgboost_05_missingness_challenger,missingness_challenger,missingness challenger,XGBoost | missingness challenger,validation,1.0,1870,1197,0.640107,0.025951,0.246763,2.594012
xgboost,XGBoost,xgboost_05_missingness_challenger,missingness_challenger,missingness challenger,XGBoost | missingness challenger,validation,2.0,3739,2285,0.611126,0.049539,0.246763,2.476567
xgboost,XGBoost,xgboost_05_missingness_challenger,missingness_challenger,missingness challenger,XGBoost | missingness challenger,validation,5.0,9346,5247,0.561417,0.113756,0.246763,2.275122
xgboost,XGBoost,xgboost_05_missingness_challenger,missingness_challenger,missingness challenger,XGBoost | missingness challenger,validation,10.0,18692,9613,0.514284,0.208412,0.246763,2.084119
xgboost,XGBoost,xgboost_05_missingness_challenger,missingness_challenger,missingness challenger,XGBoost | missingness challenger,validation,15.0,28038,13356,0.476354,0.289561,0.246763,1.930407
xgboost,XGBoost,xgboost_05_missingness_challenger,missingness_challenger,missingness challenger,XGBoost | missingness challenger,validation,20.0,37384,16821,0.449952,0.364683,0.246763,1.823415
xgboost,XGBoost,xgboost_05_missingness_challenger,missingness_challenger,missingness challenger,XGBoost | missingness challenger,validation,25.0,46730,20149,0.431179,0.436835,0.246763,1.747339
xgboost,XGBoost,xgboost_05_missingness_challenger,missingness_challenger,missingness challenger,XGBoost | missingness challenger,validation,30.0,56076,23121,0.412315,0.501268,0.246763,1.670894
xgboost,XGBoost,xgboost_05_missingness_challenger,missingness_challenger,missingness challenger,XGBoost | missingness challenger,test,1.0,1958,1119,0.571502,0.027181,0.210315,2.717357
xgboost,XGBoost,xgboost_05_missingness_challenger,missingness_challenger,missingness challenger,XGBoost | missingness challenger,test,2.0,3915,2141,0.546871,0.052005,0.210315,2.600244
xgboost,XGBoost,xgboost_05_missingness_challenger,missingness_challenger,missingness challenger,XGBoost | missingness challenger,test,5.0,9788,4880,0.49857,0.118536,0.210315,2.370583
xgboost,XGBoost,xgboost_05_missingness_challenger,missingness_challenger,missingness challenger,XGBoost | missingness challenger,test,10.0,19575,8925,0.455939,0.216789,0.210315,2.167882
xgboost,XGBoost,xgboost_05_missingness_challenger,missingness_challenger,missingness challenger,XGBoost | missingness challenger,test,15.0,29363,12470,0.424684,0.302898,0.210315,2.019274
