model_family,model,split,operating_point,rows,bad_rate,threshold,roc_auc,pr_auc,brier_score,precision,recall,f1,tn,fp,fn,tp,dataset,dataset_label,model_label,model_dataset_label,predicted_reject_count,predicted_reject_share,false_rejection_share_among_rejects
random_forest,random_forest_03_missingness_challenger,test,best_validation_f1,195749,0.210315,0.427279,0.703705,0.371062,0.200396,0.307384,0.729189,0.432465,86937,67643,11149,30020,missingness_challenger,missingness challenger,Random Forest,Random Forest | missingness challenger,97663.0,0.49892,0.692616
random_forest,random_forest_03_missingness_challenger,test,target_validation_precision,195749,0.210315,0.523309,0.703705,0.371062,0.200396,0.359181,0.520829,0.425158,116325,38255,19727,21442,missingness_challenger,missingness challenger,Random Forest,Random Forest | missingness challenger,59697.0,0.304967,0.640819
hist_gradient_boosting,hist_gradient_boosting_06_missingness_challenger,train,best_validation_f1,962641,0.1883,0.461866,0.736,0.395666,0.206678,0.300002,0.742101,0.427274,467506,313870,46748,134517,missingness_challenger,missingness challenger,HistGradientBoosting,HistGradientBoosting | missingness challenger,448387.0,0.465788,0.699998
hist_gradient_boosting,hist_gradient_boosting_06_missingness_challenger,train,target_validation_precision,962641,0.1883,0.549135,0.736,0.395666,0.206678,0.349961,0.583102,0.437405,585050,196326,75569,105696,missingness_challenger,missingness challenger,HistGradientBoosting,HistGradientBoosting | missingness challenger,302022.0,0.313743,0.650039
hist_gradient_boosting,hist_gradient_boosting_06_missingness_challenger,validation,best_validation_f1,186920,0.246763,0.461866,0.700996,0.42386,0.217615,0.353878,0.717138,0.473904,80400,60395,13047,33078,missingness_challenger,missingness challenger,HistGradientBoosting,HistGradientBoosting | missingness challenger,93473.0,0.50007,0.646122
hist_gradient_boosting,hist_gradient_boosting_06_missingness_challenger,validation,target_validation_precision,186920,0.246763,0.549135,0.700996,0.42386,0.217615,0.400003,0.539295,0.459321,103483,37312,21250,24875,missingness_challenger,missingness challenger,HistGradientBoosting,HistGradientBoosting | missingness challenger,62187.0,0.332693,0.599997
hist_gradient_boosting,hist_gradient_boosting_06_missingness_challenger,test,best_validation_f1,195749,0.210315,0.461866,0.709238,0.377731,0.211861,0.316077,0.711871,0.437777,91166,63414,11862,29307,missingness_challenger,missingness challenger,HistGradientBoosting,HistGradientBoosting | missingness challenger,92721.0,0.473673,0.683923
hist_gradient_boosting,hist_gradient_boosting_06_missingness_challenger,test,target_validation_precision,195749,0.210315,0.549135,0.709238,0.377731,0.211861,0.357665,0.545702,0.432113,114233,40347,18703,22466,missingness_challenger,missingness challenger,HistGradientBoosting,HistGradientBoosting | missingness challenger,62813.0,0.320885,0.642335
lightgbm,lightgbm_03_missingness_challenger,train,best_validation_f1,962641,0.1883,0.474301,0.740134,0.400705,0.205198,0.309491,0.725049,0.433809,488150,293226,49839,131426,missingness_challenger,missingness challenger,LightGBM,LightGBM | missingness challenger,424652.0,0.441132,0.690509
lightgbm,lightgbm_03_missingness_challenger,train,target_validation_precision,962641,0.1883,0.546402,0.740134,0.400705,0.205198,0.351264,0.594831,0.441695,582244,199132,73443,107822,missingness_challenger,missingness challenger,LightGBM,LightGBM | missingness challenger,306954.0,0.318867,0.648736
