model_family,model_label,model,feature_set,feature_set_label,model_feature_label,split,review_pct,review_count,captured_bad,precision,recall,base_bad_rate,lift_over_base_bad_rate
catboost,CatBoost,catboost_pr_auc_03_with_grade_subgrade,baseline_with_grade_subgrade,with grade/subgrade,CatBoost | with grade/subgrade,test,2.0,3915,2110,0.538953,0.051252,0.210315,2.562595
catboost,CatBoost,catboost_pr_auc_03_with_grade_subgrade,baseline_with_grade_subgrade,with grade/subgrade,CatBoost | with grade/subgrade,test,5.0,9788,4779,0.488251,0.116082,0.210315,2.321519
catboost,CatBoost,catboost_pr_auc_03_with_grade_subgrade,baseline_with_grade_subgrade,with grade/subgrade,CatBoost | with grade/subgrade,test,10.0,19575,8740,0.446488,0.212296,0.210315,2.122946
catboost,CatBoost,catboost_pr_auc_03_with_grade_subgrade,baseline_with_grade_subgrade,with grade/subgrade,CatBoost | with grade/subgrade,test,15.0,29363,12313,0.419337,0.299084,0.210315,1.993851
catboost,CatBoost,catboost_pr_auc_03_with_grade_subgrade,baseline_with_grade_subgrade,with grade/subgrade,CatBoost | with grade/subgrade,test,20.0,39150,15554,0.397292,0.377809,0.210315,1.889033
catboost,CatBoost,catboost_pr_auc_03_with_grade_subgrade,baseline_with_grade_subgrade,with grade/subgrade,CatBoost | with grade/subgrade,test,25.0,48938,18483,0.377682,0.448954,0.210315,1.79579
catboost,CatBoost,catboost_pr_auc_03_with_grade_subgrade,baseline_with_grade_subgrade,with grade/subgrade,CatBoost | with grade/subgrade,test,30.0,58725,21297,0.362656,0.517307,0.210315,1.724347
lightgbm,LightGBM,lightgbm_pr_auc_05_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,LightGBM | no grade/subgrade,validation,1.0,1870,1188,0.635294,0.025756,0.246763,2.574508
lightgbm,LightGBM,lightgbm_pr_auc_05_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,LightGBM | no grade/subgrade,validation,2.0,3739,2280,0.609789,0.049431,0.246763,2.471148
lightgbm,LightGBM,lightgbm_pr_auc_05_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,LightGBM | no grade/subgrade,validation,5.0,9346,5215,0.557993,0.113062,0.246763,2.261247
lightgbm,LightGBM,lightgbm_pr_auc_05_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,LightGBM | no grade/subgrade,validation,10.0,18692,9603,0.513749,0.208195,0.246763,2.081951
lightgbm,LightGBM,lightgbm_pr_auc_05_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,LightGBM | no grade/subgrade,validation,15.0,28038,13324,0.475212,0.288867,0.246763,1.925781
lightgbm,LightGBM,lightgbm_pr_auc_05_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,LightGBM | no grade/subgrade,validation,20.0,37384,16820,0.449925,0.364661,0.246763,1.823306
lightgbm,LightGBM,lightgbm_pr_auc_05_no_grade_subgrade,baseline_no_grade_subgrade,no grade/subgrade,LightGBM | no grade/subgrade,validation,25.0,46730,20037,0.428782,0.434407,0.246763,1.737626
