model_family,model_label,candidate,feature_set,feature_set_label,model_feature_label,selection_metric,training_eval_metric,params,fit_rows,fit_bad_rate,fit_seconds,roc_auc,pr_auc,best_f1_threshold,best_f1,best_f1_precision,best_f1_recall,target_precision_threshold,target_precision_f1,target_precision,target_precision_recall
catboost,CatBoost,catboost_pr_auc_02_with_grade_subgrade,baseline_with_grade_subgrade,with grade/subgrade,CatBoost | with grade/subgrade,validation_pr_auc,PRAUC,"{""depth"": 5, ""iterations"": 260, ""l2_leaf_reg"": 4.0, ""learning_rate"": 0.035, ""subsample"": 0.85}",300000,0.1883,19.792,0.697712,0.419713,0.477496,0.471979,0.357214,0.695393,0.556704,0.452585,0.400003,0.521084
catboost,CatBoost,catboost_pr_auc_06_with_grade_subgrade,baseline_with_grade_subgrade,with grade/subgrade,CatBoost | with grade/subgrade,validation_pr_auc,PRAUC,"{""depth"": 4, ""iterations"": 180, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.06, ""subsample"": 0.9}",300000,0.1883,13.11,0.697312,0.419462,0.478333,0.470894,0.35723,0.690645,0.557978,0.45264,0.4,0.521236
catboost,CatBoost,catboost_pr_auc_01_with_grade_subgrade,baseline_with_grade_subgrade,with grade/subgrade,CatBoost | with grade/subgrade,validation_pr_auc,PRAUC,"{""depth"": 4, ""iterations"": 220, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.04, ""subsample"": 0.85}",300000,0.1883,15.931,0.696154,0.417685,0.475947,0.470338,0.355747,0.693832,0.558086,0.450463,0.400003,0.515491
lightgbm,LightGBM,lightgbm_pr_auc_06_with_grade_subgrade,baseline_with_grade_subgrade,with grade/subgrade,LightGBM | with grade/subgrade,validation_pr_auc,average_precision,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.025, ""max_depth"": 12, ""min_child_samples"": 120, ""n_estimators"": 400, ""num_leaves"": 63, ""reg_lambda"": 5.0, ""subsample"": 0.8}",300000,0.1883,8.748,0.702851,0.42477,0.459101,0.475468,0.35411,0.723382,0.547699,0.461747,0.4,0.546038
lightgbm,LightGBM,lightgbm_pr_auc_04_with_grade_subgrade,baseline_with_grade_subgrade,with grade/subgrade,LightGBM | with grade/subgrade,validation_pr_auc,average_precision,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 8, ""min_child_samples"": 80, ""n_estimators"": 220, ""num_leaves"": 31, ""reg_lambda"": 1.0, ""subsample"": 0.9}",300000,0.1883,4.652,0.702154,0.424769,0.486482,0.474309,0.364662,0.678244,0.55038,0.461602,0.400003,0.545626
lightgbm,LightGBM,lightgbm_pr_auc_05_with_grade_subgrade,baseline_with_grade_subgrade,with grade/subgrade,LightGBM | with grade/subgrade,validation_pr_auc,average_precision,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 10, ""min_child_samples"": 120, ""n_estimators"": 280, ""num_leaves"": 45, ""reg_lambda"": 4.0, ""subsample"": 0.8}",300000,0.1883,5.941,0.702729,0.424616,0.479567,0.474982,0.362033,0.690363,0.549134,0.462515,0.400003,0.548184
lightgbm,LightGBM,lightgbm_pr_auc_01_with_grade_subgrade,baseline_with_grade_subgrade,with grade/subgrade,LightGBM | with grade/subgrade,validation_pr_auc,average_precision,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": -1, ""min_child_samples"": 60, ""n_estimators"": 250, ""num_leaves"": 31, ""reg_lambda"": 1.0, ""subsample"": 0.85}",300000,0.1883,5.664,0.701948,0.424427,0.483709,0.474021,0.362169,0.685832,0.552165,0.46111,0.4,0.54426
lightgbm,LightGBM,lightgbm_pr_auc_03_with_grade_subgrade,baseline_with_grade_subgrade,with grade/subgrade,LightGBM | with grade/subgrade,validation_pr_auc,average_precision,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""min_child_samples"": 100, ""n_estimators"": 350, ""num_leaves"": 63, ""reg_lambda"": 3.0, ""subsample"": 0.8}",300000,0.1883,8.105,0.702498,0.424406,0.469874,0.474743,0.3589,0.701008,0.546739,0.462438,0.400003,0.547967
lightgbm,LightGBM,lightgbm_pr_auc_02_with_grade_subgrade,baseline_with_grade_subgrade,with grade/subgrade,LightGBM | with grade/subgrade,validation_pr_auc,average_precision,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.035, ""max_depth"": -1, ""min_child_samples"": 80, ""n_estimators"": 300, ""num_leaves"": 45, ""reg_lambda"": 2.0, ""subsample"": 0.85}",300000,0.1883,6.479,0.702464,0.424172,0.484876,0.474753,0.365445,0.677355,0.548225,0.462113,0.400003,0.547057
xgboost,XGBoost,xgboost_pr_auc_05_with_grade_subgrade,baseline_with_grade_subgrade,with grade/subgrade,XGBoost | with grade/subgrade,validation_pr_auc,aucpr,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.025, ""max_depth"": 6, ""min_child_weight"": 16, ""n_estimators"": 350, ""reg_alpha"": 0.2, ""reg_lambda"": 5.0, ""subsample"": 0.8}",300000,0.1883,11.169,0.701999,0.4254,0.470697,0.473896,0.357995,0.70077,0.546067,0.461974,0.400003,0.546667
xgboost,XGBoost,xgboost_pr_auc_04_with_grade_subgrade,baseline_with_grade_subgrade,with grade/subgrade,XGBoost | with grade/subgrade,validation_pr_auc,aucpr,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.045, ""max_depth"": 5, ""min_child_weight"": 16, ""n_estimators"": 240, ""reg_alpha"": 0.2, ""reg_lambda"": 3.0, ""subsample"": 0.9}",300000,0.1883,6.993,0.701382,0.424958,0.467468,0.473831,0.355749,0.709247,0.551242,0.459243,0.400003,0.539079
xgboost,XGBoost,xgboost_pr_auc_03_with_grade_subgrade,baseline_with_grade_subgrade,with grade/subgrade,XGBoost | with grade/subgrade,validation_pr_auc,aucpr,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 10, ""n_estimators"": 300, ""reg_alpha"": 0.1, ""reg_lambda"": 4.0, ""subsample"": 0.8}",300000,0.1883,8.764,0.700779,0.424033,0.476173,0.473532,0.359344,0.694092,0.551952,0.458644,0.400003,0.537431
xgboost,XGBoost,xgboost_pr_auc_02_with_grade_subgrade,baseline_with_grade_subgrade,with grade/subgrade,XGBoost | with grade/subgrade,validation_pr_auc,aucpr,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.035, ""max_depth"": 4, ""min_child_weight"": 12, ""n_estimators"": 260, ""reg_alpha"": 0.1, ""reg_lambda"": 3.0, ""subsample"": 0.85}",300000,0.1883,6.9,0.698801,0.421658,0.468232,0.472314,0.354123,0.708921,0.553382,0.456722,0.400003,0.532184
xgboost,XGBoost,xgboost_pr_auc_01_with_grade_subgrade,baseline_with_grade_subgrade,with grade/subgrade,XGBoost | with grade/subgrade,validation_pr_auc,aucpr,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.04, ""max_depth"": 4, ""min_child_weight"": 8, ""n_estimators"": 220, ""reg_alpha"": 0.0, ""reg_lambda"": 2.0, ""subsample"": 0.85}",300000,0.1883,6.027,0.698553,0.421263,0.461677,0.472085,0.350778,0.721648,0.555085,0.455156,0.4,0.527957
xgboost,XGBoost,xgboost_pr_auc_06_with_grade_subgrade,baseline_with_grade_subgrade,with grade/subgrade,XGBoost | with grade/subgrade,validation_pr_auc,aucpr,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.06, ""max_depth"": 3, ""min_child_weight"": 8, ""n_estimators"": 180, ""reg_alpha"": 0.0, ""reg_lambda"": 2.0, ""subsample"": 0.9}",300000,0.1883,4.532,0.697205,0.419525,0.466265,0.471318,0.352774,0.709854,0.557361,0.452837,0.4,0.521756
