model,split,threshold,rows,bad_rate,source_table,class_label,class_name,precision,recall,f1,support,model_family,model_label,operating_point
random_forest_03,test,0.523016,195749,0.210315,final_comparison,1,Charged Off,0.359378,0.520076,0.425045,41169,random_forest,Random Forest,target_validation_precision
hist_gradient_boosting_04,train,0.472937,962641,0.1883,final_comparison,0,Fully Paid,0.905581,0.615451,0.732846,781376,hist_gradient_boosting,HistGradientBoosting,best_validation_f1
hist_gradient_boosting_04,train,0.472937,962641,0.1883,final_comparison,1,Charged Off,0.30381,0.723388,0.427907,181265,hist_gradient_boosting,HistGradientBoosting,best_validation_f1
hist_gradient_boosting_04,train,0.550043,962641,0.1883,final_comparison,0,Fully Paid,0.885216,0.746936,0.810218,781376,hist_gradient_boosting,HistGradientBoosting,target_validation_precision
hist_gradient_boosting_04,train,0.550043,962641,0.1883,final_comparison,1,Charged Off,0.348096,0.582495,0.435775,181265,hist_gradient_boosting,HistGradientBoosting,target_validation_precision
hist_gradient_boosting_04,validation,0.472937,186920,0.246763,final_comparison,0,Fully Paid,0.856558,0.593309,0.701035,140795,hist_gradient_boosting,HistGradientBoosting,best_validation_f1
hist_gradient_boosting_04,validation,0.472937,186920,0.246763,final_comparison,1,Charged Off,0.359479,0.696715,0.474259,46125,hist_gradient_boosting,HistGradientBoosting,best_validation_f1
hist_gradient_boosting_04,validation,0.550043,186920,0.246763,final_comparison,0,Fully Paid,0.82943,0.735474,0.779631,140795,hist_gradient_boosting,HistGradientBoosting,target_validation_precision
hist_gradient_boosting_04,validation,0.550043,186920,0.246763,final_comparison,1,Charged Off,0.400006,0.53832,0.458969,46125,hist_gradient_boosting,HistGradientBoosting,target_validation_precision
hist_gradient_boosting_04,test,0.472937,195749,0.210315,final_comparison,0,Fully Paid,0.881368,0.607168,0.719013,154580,hist_gradient_boosting,HistGradientBoosting,best_validation_f1
hist_gradient_boosting_04,test,0.472937,195749,0.210315,final_comparison,1,Charged Off,0.319695,0.693143,0.437571,41169,hist_gradient_boosting,HistGradientBoosting,best_validation_f1
hist_gradient_boosting_04,test,0.550043,195749,0.210315,final_comparison,0,Fully Paid,0.858946,0.739772,0.794917,154580,hist_gradient_boosting,HistGradientBoosting,target_validation_precision
hist_gradient_boosting_04,test,0.550043,195749,0.210315,final_comparison,1,Charged Off,0.357576,0.543856,0.431469,41169,hist_gradient_boosting,HistGradientBoosting,target_validation_precision
