model_family,model,split,review_pct,review_count,captured_bad,precision,recall,base_bad_rate,lift_over_base_bad_rate,model_label
catboost,catboost_04,validation,15.0,28038,13226,0.471717,0.286743,0.246763,1.911617,CatBoost
catboost,catboost_04,validation,20.0,37384,16716,0.447143,0.362407,0.246763,1.812033,CatBoost
catboost,catboost_04,validation,25.0,46730,19908,0.426022,0.43161,0.246763,1.726439,CatBoost
catboost,catboost_04,validation,30.0,56076,22912,0.408588,0.496737,0.246763,1.65579,CatBoost
catboost,catboost_04,test,1.0,1958,1117,0.57048,0.027132,0.210315,2.7125,CatBoost
catboost,catboost_04,test,2.0,3915,2117,0.540741,0.051422,0.210315,2.571096,CatBoost
catboost,catboost_04,test,5.0,9788,4802,0.490601,0.116641,0.210315,2.332692,CatBoost
catboost,catboost_04,test,10.0,19575,8755,0.447254,0.21266,0.210315,2.126589,CatBoost
catboost,catboost_04,test,15.0,29363,12253,0.417294,0.297627,0.210315,1.984135,CatBoost
catboost,catboost_04,test,20.0,39150,15507,0.396092,0.376667,0.210315,1.883325,CatBoost
catboost,catboost_04,test,25.0,48938,18457,0.377151,0.448323,0.210315,1.793264,CatBoost
catboost,catboost_04,test,30.0,58725,21224,0.361413,0.515534,0.210315,1.718436,CatBoost
