model_family,model,split,review_pct,review_count,captured_bad,precision,recall,base_bad_rate,lift_over_base_bad_rate,model_label,dataset,dataset_label,model_dataset_label,selection_rank,business_policy,avoided_auto_reject_share_vs_f1_threshold
hist_gradient_boosting,hist_gradient_boosting_04,test,30.0,58725,21393,0.364291,0.519639,0.210315,1.73212,HistGradientBoosting,baseline_with_grade_subgrade,baseline with grade/subgrade,HistGradientBoosting | baseline with grade/subgrade,11,review/risk-action top 30% only,0.178258
hist_gradient_boosting,hist_gradient_boosting_03_missingness_challenger_no_grade_subgrade,test,30.0,58725,21317,0.362997,0.517793,0.210315,1.725966,HistGradientBoosting,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,HistGradientBoosting | missingness challenger no grade/subgrade,12,review/risk-action top 30% only,0.176889
xgboost,xgboost_05_missingness_challenger,validation,5.0,9346,5247,0.561417,0.113756,0.246763,2.275122,XGBoost,missingness_challenger,missingness challenger,XGBoost | missingness challenger,1,review/risk-action top 5% only,0.447518
xgboost,xgboost_05,validation,5.0,9346,5221,0.558635,0.113192,0.246763,2.263848,XGBoost,baseline_with_grade_subgrade,baseline with grade/subgrade,XGBoost | baseline with grade/subgrade,3,review/risk-action top 5% only,0.43303
xgboost,xgboost_05_missingness_challenger_no_grade_subgrade,validation,5.0,9346,5205,0.556923,0.112846,0.246763,2.256911,XGBoost,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,XGBoost | missingness challenger no grade/subgrade,4,review/risk-action top 5% only,0.44381
xgboost,xgboost_05_no_grade_subgrade,validation,5.0,9346,5226,0.55917,0.113301,0.246763,2.266016,XGBoost,baseline_no_grade_subgrade,baseline no grade/subgrade,XGBoost | baseline no grade/subgrade,5,review/risk-action top 5% only,0.447245
lightgbm,lightgbm_03_missingness_challenger,validation,5.0,9346,5203,0.556709,0.112802,0.246763,2.256043,LightGBM,missingness_challenger,missingness challenger,LightGBM | missingness challenger,6,review/risk-action top 5% only,0.42424
lightgbm,lightgbm_06,validation,5.0,9346,5197,0.556067,0.112672,0.246763,2.253442,LightGBM,baseline_with_grade_subgrade,baseline with grade/subgrade,LightGBM | baseline with grade/subgrade,7,review/risk-action top 5% only,0.454093
lightgbm,lightgbm_06_missingness_challenger_no_grade_subgrade,validation,5.0,9346,5197,0.556067,0.112672,0.246763,2.253442,LightGBM,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,LightGBM | missingness challenger no grade/subgrade,8,review/risk-action top 5% only,0.446897
lightgbm,lightgbm_06_no_grade_subgrade,validation,5.0,9346,5189,0.555211,0.112499,0.246763,2.249973,LightGBM,baseline_no_grade_subgrade,baseline no grade/subgrade,LightGBM | baseline no grade/subgrade,9,review/risk-action top 5% only,0.437262
hist_gradient_boosting,hist_gradient_boosting_06_missingness_challenger,validation,5.0,9346,5172,0.553392,0.11213,0.246763,2.242602,HistGradientBoosting,missingness_challenger,missingness challenger,HistGradientBoosting | missingness challenger,10,review/risk-action top 5% only,0.45007
hist_gradient_boosting,hist_gradient_boosting_04,validation,5.0,9346,5171,0.553285,0.112108,0.246763,2.242168,HistGradientBoosting,baseline_with_grade_subgrade,baseline with grade/subgrade,HistGradientBoosting | baseline with grade/subgrade,11,review/risk-action top 5% only,0.428258
hist_gradient_boosting,hist_gradient_boosting_03_missingness_challenger_no_grade_subgrade,validation,5.0,9346,5180,0.554248,0.112304,0.246763,2.24607,HistGradientBoosting,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,HistGradientBoosting | missingness challenger no grade/subgrade,12,review/risk-action top 5% only,0.426889
xgboost,xgboost_05_missingness_challenger,validation,10.0,18692,9613,0.514284,0.208412,0.246763,2.084119,XGBoost,missingness_challenger,missingness challenger,XGBoost | missingness challenger,1,review/risk-action top 10% only,0.397518
xgboost,xgboost_05,validation,10.0,18692,9587,0.512893,0.207848,0.246763,2.078482,XGBoost,baseline_with_grade_subgrade,baseline with grade/subgrade,XGBoost | baseline with grade/subgrade,3,review/risk-action top 10% only,0.38303
xgboost,xgboost_05_missingness_challenger_no_grade_subgrade,validation,10.0,18692,9614,0.514338,0.208434,0.246763,2.084336,XGBoost,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,XGBoost | missingness challenger no grade/subgrade,4,review/risk-action top 10% only,0.39381
xgboost,xgboost_05_no_grade_subgrade,validation,10.0,18692,9603,0.513749,0.208195,0.246763,2.081951,XGBoost,baseline_no_grade_subgrade,baseline no grade/subgrade,XGBoost | baseline no grade/subgrade,5,review/risk-action top 10% only,0.397245
lightgbm,lightgbm_03_missingness_challenger,validation,10.0,18692,9614,0.514338,0.208434,0.246763,2.084336,LightGBM,missingness_challenger,missingness challenger,LightGBM | missingness challenger,6,review/risk-action top 10% only,0.37424
lightgbm,lightgbm_06,validation,10.0,18692,9603,0.513749,0.208195,0.246763,2.081951,LightGBM,baseline_with_grade_subgrade,baseline with grade/subgrade,LightGBM | baseline with grade/subgrade,7,review/risk-action top 10% only,0.404093
lightgbm,lightgbm_06_missingness_challenger_no_grade_subgrade,validation,10.0,18692,9589,0.513,0.207892,0.246763,2.078916,LightGBM,missingness_challenger_no_grade_subgrade,missingness challenger no grade/subgrade,LightGBM | missingness challenger no grade/subgrade,8,review/risk-action top 10% only,0.396897
lightgbm,lightgbm_06_no_grade_subgrade,validation,10.0,18692,9558,0.511342,0.20722,0.246763,2.072195,LightGBM,baseline_no_grade_subgrade,baseline no grade/subgrade,LightGBM | baseline no grade/subgrade,9,review/risk-action top 10% only,0.387262
hist_gradient_boosting,hist_gradient_boosting_06_missingness_challenger,validation,10.0,18692,9608,0.514017,0.208304,0.246763,2.083035,HistGradientBoosting,missingness_challenger,missingness challenger,HistGradientBoosting | missingness challenger,10,review/risk-action top 10% only,0.40007
hist_gradient_boosting,hist_gradient_boosting_04,validation,10.0,18692,9525,0.509576,0.206504,0.246763,2.065041,HistGradientBoosting,baseline_with_grade_subgrade,baseline with grade/subgrade,HistGradientBoosting | baseline with grade/subgrade,11,review/risk-action top 10% only,0.378258
