threshold,rows,reject_count,approved_count,predicted_reject_share,approved_share,tp_caught_defaults,fp_rejected_good,tn_approved_good,fn_approved_defaults,precision_bad_rate_among_rejected,recall_default_capture,approved_bad_rate,rejected_bad_rate,total_portfolio_value,value_per_applicant,calibration_method,default_loss_saved,good_borrower_opportunity_cost,max_reject_share_constraint,economic_break_even_probability,policy_type,model_family,model,dataset,model_dataset_label
0.285,186920,152713,34207,0.816997,0.183003,43495,109218,31577,2630,0.284815,0.942981,0.076885,0.284815,271123000.0,1450.48,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.316867,186920,143554,43366,0.767997,0.232003,42297,101257,39538,3828,0.294642,0.917008,0.088272,0.294642,271084500.0,1450.27,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.281497,186920,153648,33272,0.821999,0.178001,43613,110035,30760,2512,0.28385,0.945539,0.075499,0.28385,271077500.0,1450.23,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.328417,186920,140003,46917,0.749,0.251,41833,98170,42625,4292,0.298801,0.906949,0.091481,0.298801,271075000.0,1450.22,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.317528,186920,143367,43553,0.766997,0.233003,42271,101096,39699,3854,0.294845,0.916444,0.08849,0.294845,271066000.0,1450.17,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.32051,186920,142433,44487,0.762,0.238,42149,100284,40511,3976,0.295922,0.913799,0.089374,0.295922,271064000.0,1450.16,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.327771,186920,140190,46730,0.75,0.25,41856,98334,42461,4269,0.298566,0.907447,0.091355,0.298566,271059000.0,1450.13,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.328994,186920,139816,47104,0.747999,0.252001,41806,98010,42785,4319,0.299007,0.906363,0.091691,0.299007,271045000.0,1450.06,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.327148,186920,140377,46543,0.751,0.249,41879,98498,42297,4246,0.298332,0.907946,0.091227,0.298332,271043000.0,1450.05,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.319843,186920,142620,44300,0.763,0.237,42171,100449,40346,3954,0.295688,0.914276,0.089255,0.295688,271036500.0,1450.01,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.319255,186920,142807,44113,0.764001,0.235999,42195,100612,40183,3930,0.295469,0.914797,0.089089,0.295469,271032000.0,1449.99,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.318678,186920,142994,43926,0.765001,0.234999,42216,100778,40017,3909,0.295229,0.915252,0.088991,0.295229,270993000.0,1449.78,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.326576,186920,140564,46356,0.752001,0.247999,41898,98666,42129,4227,0.298071,0.908358,0.091186,0.298071,270981000.0,1449.72,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.28079,186920,153835,33085,0.822999,0.177001,43629,110206,30589,2496,0.283609,0.945886,0.075442,0.283609,270981000.0,1449.72,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.279341,186920,154209,32711,0.825,0.175,43677,110532,30263,2448,0.283232,0.946927,0.074837,0.283232,270972000.0,1449.67,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.318093,186920,143180,43740,0.765996,0.234004,42238,100942,39853,3887,0.294999,0.915729,0.088866,0.294999,270967000.0,1449.64,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
0.325941,186920,140751,46169,0.753001,0.246999,41921,98830,41965,4204,0.297838,0.908856,0.091057,0.297838,270965000.0,1449.63,raw,10000.0,1500.0,,0.130435,economic_unconstrained,xgboost,xgboost_05_missingness_challenger,missingness_challenger,XGBoost | missingness challenger
