model_family,candidate,base_candidate,base_dataset,feature_set,feature_set_label,include_grade_subgrade,include_int_rate,params,scale_pos_weight,fit_rows,fit_bad_rate,fit_seconds,feature_count,roc_auc,pr_auc,mean_predicted_probability_raw,best_f1_threshold,best_f1,best_f1_precision,best_f1_recall
xgboost,xgb_neutral_10_without_grade_subgrade_with_int_rate,xgb_neutral_10,missingness_challenger,without_grade_subgrade_with_int_rate,without grade/sub_grade + int_rate,False,True,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 16, ""n_estimators"": 250, ""reg_alpha"": 0.0, ""reg_lambda"": 4.0, ""subsample"": 0.9}",1.0,300000,0.188573,3.961,60,0.69801,0.421308,0.198782,0.174003,0.471904,0.357238,0.694981
xgboost,xgb_neutral_05_without_grade_subgrade_with_int_rate,xgb_neutral_05,missingness_challenger,without_grade_subgrade_with_int_rate,without grade/sub_grade + int_rate,False,True,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.015, ""max_depth"": 3, ""min_child_weight"": 24, ""n_estimators"": 700, ""reg_alpha"": 0.0, ""reg_lambda"": 8.0, ""subsample"": 0.9}",1.0,300000,0.188573,9.714,60,0.697007,0.419994,0.198381,0.17047,0.470868,0.353423,0.705214
xgboost,xgb_neutral_06_without_grade_subgrade_without_int_rate,xgb_neutral_06,missingness_challenger,without_grade_subgrade_without_int_rate,without grade/sub_grade and without int_rate,False,False,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 24, ""n_estimators"": 400, ""reg_alpha"": 0.3, ""reg_lambda"": 8.0, ""subsample"": 0.8}",1.0,300000,0.188573,7.198,59,0.696424,0.422215,0.189554,0.160881,0.469893,0.351418,0.708878
xgboost,xgb_neutral_09_without_grade_subgrade_without_int_rate,xgb_neutral_09,missingness_challenger,without_grade_subgrade_without_int_rate,without grade/sub_grade and without int_rate,False,False,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.02, ""max_depth"": 6, ""min_child_weight"": 24, ""n_estimators"": 450, ""reg_alpha"": 0.5, ""reg_lambda"": 10.0, ""subsample"": 0.75}",1.0,300000,0.188573,9.2,59,0.696288,0.421868,0.189246,0.168995,0.469466,0.358659,0.67935
xgboost,xgb_neutral_08_without_grade_subgrade_without_int_rate,xgb_neutral_08,missingness_challenger,without_grade_subgrade_without_int_rate,without grade/sub_grade and without int_rate,False,False,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.018, ""max_depth"": 5, ""min_child_weight"": 32, ""n_estimators"": 600, ""reg_alpha"": 0.5, ""reg_lambda"": 12.0, ""subsample"": 0.75}",1.0,300000,0.188573,10.639,59,0.695956,0.421521,0.189466,0.17085,0.469912,0.360651,0.674146
xgboost,xgb_neutral_01_without_grade_subgrade_without_int_rate,xgb_neutral_01,missingness_challenger,without_grade_subgrade_without_int_rate,without grade/sub_grade and without int_rate,False,False,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.025, ""max_depth"": 6, ""min_child_weight"": 16, ""n_estimators"": 350, ""reg_alpha"": 0.2, ""reg_lambda"": 5.0, ""subsample"": 0.8}",1.0,300000,0.188573,7.313,59,0.696052,0.421392,0.18929,0.163796,0.470041,0.354085,0.698927
xgboost,xgb_neutral_02_without_grade_subgrade_without_int_rate,xgb_neutral_02,missingness_challenger,without_grade_subgrade_without_int_rate,without grade/sub_grade and without int_rate,False,False,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.02, ""max_depth"": 5, ""min_child_weight"": 16, ""n_estimators"": 500, ""reg_alpha"": 0.2, ""reg_lambda"": 6.0, ""subsample"": 0.85}",1.0,300000,0.188573,8.966,59,0.695142,0.420746,0.189183,0.162963,0.469303,0.352674,0.701182
xgboost,xgb_neutral_04_without_grade_subgrade_without_int_rate,xgb_neutral_04,missingness_challenger,without_grade_subgrade_without_int_rate,without grade/sub_grade and without int_rate,False,False,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.025, ""max_depth"": 4, ""min_child_weight"": 16, ""n_estimators"": 450, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.85}",1.0,300000,0.188573,7.156,59,0.693679,0.419141,0.189027,0.160812,0.468314,0.349598,0.709117
xgboost,xgb_neutral_11_without_grade_subgrade_without_int_rate,xgb_neutral_11,missingness_challenger,without_grade_subgrade_without_int_rate,without grade/sub_grade and without int_rate,False,False,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.022, ""max_depth"": 4, ""min_child_weight"": 8, ""n_estimators"": 500, ""reg_alpha"": 0.1, ""reg_lambda"": 6.0, ""subsample"": 0.8}",1.0,300000,0.188573,8.033,59,0.693732,0.419104,0.188758,0.162908,0.467792,0.351172,0.700379
xgboost,xgb_neutral_07_without_grade_subgrade_without_int_rate,xgb_neutral_07,missingness_challenger,without_grade_subgrade_without_int_rate,without grade/sub_grade and without int_rate,False,False,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.035, ""max_depth"": 4, ""min_child_weight"": 32, ""n_estimators"": 300, ""reg_alpha"": 0.3, ""reg_lambda"": 10.0, ""subsample"": 0.85}",1.0,300000,0.188573,5.012,59,0.693085,0.418267,0.188452,0.166194,0.467723,0.354891,0.685745
xgboost,xgb_neutral_12_without_grade_subgrade_without_int_rate,xgb_neutral_12,missingness_challenger,without_grade_subgrade_without_int_rate,without grade/sub_grade and without int_rate,False,False,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.016, ""max_depth"": 4, ""min_child_weight"": 32, ""n_estimators"": 650, ""reg_alpha"": 0.2, ""reg_lambda"": 12.0, ""subsample"": 1.0}",1.0,300000,0.188573,9.56,59,0.692196,0.417486,0.188375,0.160296,0.467054,0.347971,0.710049
xgboost,xgb_neutral_03_without_grade_subgrade_without_int_rate,xgb_neutral_03,missingness_challenger,without_grade_subgrade_without_int_rate,without grade/sub_grade and without int_rate,False,False,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.018, ""max_depth"": 4, ""min_child_weight"": 24, ""n_estimators"": 550, ""reg_alpha"": 0.1, ""reg_lambda"": 8.0, ""subsample"": 0.9}",1.0,300000,0.188573,8.595,59,0.692211,0.417425,0.188529,0.159595,0.467167,0.347305,0.713366
xgboost,xgb_neutral_10_without_grade_subgrade_without_int_rate,xgb_neutral_10,missingness_challenger,without_grade_subgrade_without_int_rate,without grade/sub_grade and without int_rate,False,False,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 16, ""n_estimators"": 250, ""reg_alpha"": 0.0, ""reg_lambda"": 4.0, ""subsample"": 0.9}",1.0,300000,0.188573,3.746,59,0.690971,0.415699,0.188204,0.167253,0.466308,0.353894,0.683382
xgboost,xgb_neutral_05_without_grade_subgrade_without_int_rate,xgb_neutral_05,missingness_challenger,without_grade_subgrade_without_int_rate,without grade/sub_grade and without int_rate,False,False,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.015, ""max_depth"": 3, ""min_child_weight"": 24, ""n_estimators"": 700, ""reg_alpha"": 0.0, ""reg_lambda"": 8.0, ""subsample"": 0.9}",1.0,300000,0.188573,9.414,59,0.68925,0.413874,0.187964,0.161942,0.464946,0.346945,0.704585
